encoder,variant,layer_token,layer,test_map,test_mrr,test_map_at_1
MERT-v1-95M,VGMIDITVar-leitmotif,12,12,0.00951350200921297,0.024455972015857697,0.0022166722919791937
MuQ,VGMIDITVar,meanall,-1,0.17764441668987274,0.3390395939350128,0.12136661261320114
MuQ,VGMIDITVar,0,0,0.16563503444194794,0.32052427530288696,0.11346838623285294
MuQ,VGMIDITVar,1,1,0.17029285430908203,0.3285631239414215,0.1187550351023674
MuQ,VGMIDITVar,2,2,0.17478486895561218,0.33538997173309326,0.12032606452703476
MuQ,VGMIDITVar,3,3,0.17729704082012177,0.33835873007774353,0.1203564926981926
MuQ,VGMIDITVar,4,4,0.18096129596233368,0.3432331383228302,0.12245051562786102
MuQ,VGMIDITVar,5,5,0.18236128985881803,0.3457191586494446,0.12448745965957642
MuQ,VGMIDITVar,6,6,0.18560683727264404,0.3505507707595825,0.12592825293540957
MuQ,VGMIDITVar,7,7,0.19580510258674624,0.36346739530563354,0.13111212849617004
MuQ,VGMIDITVar,8,8,0.19611871242523193,0.36436066031455994,0.13147270679473877
MuQ,VGMIDITVar,9,9,0.19143350422382355,0.35836634039878845,0.1283329725265503
MuQ,VGMIDITVar,10,10,0.18133313953876495,0.34405022859573364,0.1208452731370926
MuQ,VGMIDITVar,11,11,0.1752246618270874,0.3375004231929779,0.11981380730867386
MuQ,VGMIDITVar,12,12,0.16356773674488068,0.3208402395248413,0.11250869929790495
MuQ,VGMIDITVar-multisf,meanall,-1,0.13178065419197085,0.2835189998149872,0.10966182500123978
MuQ,VGMIDITVar-multisf,0,0,0.11489292979240416,0.2571560740470886,0.10062085837125778
MuQ,VGMIDITVar-multisf,1,1,0.12138743698596954,0.2675505578517914,0.1051313504576683
MuQ,VGMIDITVar-multisf,2,2,0.12789784371852875,0.27872589230537415,0.11125023663043976
MuQ,VGMIDITVar-multisf,3,3,0.13162074983119965,0.2841452956199646,0.11085397005081175
MuQ,VGMIDITVar-multisf,4,4,0.13778428733348846,0.29297059774398804,0.11315250396728516
MuQ,VGMIDITVar-multisf,5,5,0.14054496586322784,0.2970661520957947,0.1144767329096794
MuQ,VGMIDITVar-multisf,6,6,0.14673447608947754,0.30686479806900024,0.11892236769199371
MuQ,VGMIDITVar-multisf,7,7,0.16373030841350555,0.3311684727668762,0.12532226741313934
MuQ,VGMIDITVar-multisf,8,8,0.16633930802345276,0.3346729874610901,0.1266496479511261
MuQ,VGMIDITVar-multisf,9,9,0.1659834086894989,0.3327590823173523,0.12562069296836853
MuQ,VGMIDITVar-multisf,10,10,0.16483671963214874,0.3289943039417267,0.12192528694868088
MuQ,VGMIDITVar-multisf,11,11,0.16458258032798767,0.32763856649398804,0.12066008150577544
MuQ,VGMIDITVar-multisf,12,12,0.15507672727108002,0.3115859627723694,0.11329133063554764
MuQ,VGMIDITVar-leitmotif,meanall,-1,0.004685729742050171,0.014591558836400507,0.001170773641206324
MuQ,VGMIDITVar-leitmotif,0,0,0.002302846871316433,0.007848402485251427,0.0006612830911763012
MuQ,VGMIDITVar-leitmotif,1,1,0.00322370114736259,0.01016753725707531,0.0007732082158327103
MuQ,VGMIDITVar-leitmotif,2,2,0.003255062736570835,0.010347521863877772,0.000669608183670789
MuQ,VGMIDITVar-leitmotif,3,3,0.003603709163144231,0.01141349133104086,0.0007027231622487307
MuQ,VGMIDITVar-leitmotif,4,4,0.004749045707285404,0.014819164760410786,0.0009894735412672162
MuQ,VGMIDITVar-leitmotif,5,5,0.005522949155420065,0.017074881121516228,0.0012581862974911928
MuQ,VGMIDITVar-leitmotif,6,6,0.006499818060547113,0.019776765257120132,0.0014750990085303783
MuQ,VGMIDITVar-leitmotif,7,7,0.011640604585409164,0.03264657035470009,0.0031197506468743086
MuQ,VGMIDITVar-leitmotif,8,8,0.013468576595187187,0.0367606095969677,0.003540070960298181
MuQ,VGMIDITVar-leitmotif,9,9,0.015480807051062584,0.04224992170929909,0.0042905244044959545
MuQ,VGMIDITVar-leitmotif,10,10,0.02228092961013317,0.05752052366733551,0.006799589842557907
MuQ,VGMIDITVar-leitmotif,11,11,0.03215385973453522,0.07752729952335358,0.010675434954464436
MuQ,VGMIDITVar-leitmotif,12,12,0.03414786234498024,0.0828276202082634,0.012227588333189487
OMARRQ-multifeature-25hz,VGMIDITVar,meanall,-1,0.1728471666574478,0.331864595413208,0.11896881461143494
OMARRQ-multifeature-25hz,VGMIDITVar,0,0,0.14847604930400848,0.2942422032356262,0.10234321653842926
OMARRQ-multifeature-25hz,VGMIDITVar,1,1,0.16021963953971863,0.3117091655731201,0.11096949875354768
OMARRQ-multifeature-25hz,VGMIDITVar,2,2,0.164306178689003,0.3183000385761261,0.11422513425350188
OMARRQ-multifeature-25hz,VGMIDITVar,3,3,0.16590502858161926,0.3211146295070648,0.11507724225521088
OMARRQ-multifeature-25hz,VGMIDITVar,5,5,0.17051900923252106,0.3277086913585663,0.11629591882228851
OMARRQ-multifeature-25hz,VGMIDITVar,4,4,0.16634048521518707,0.3221417963504791,0.11496587097644806
OMARRQ-multifeature-25hz,VGMIDITVar,6,6,0.17237815260887146,0.3302077353000641,0.11771848052740096
OMARRQ-multifeature-25hz,VGMIDITVar,7,7,0.1748289316892624,0.33414536714553833,0.11952760815620422
OMARRQ-multifeature-25hz,VGMIDITVar,8,8,0.17472289502620697,0.33371034264564514,0.12008630484342576
OMARRQ-multifeature-25hz,VGMIDITVar,9,9,0.1762927621603012,0.33620336651802063,0.12054214626550674
OMARRQ-multifeature-25hz,VGMIDITVar,10,10,0.18327562510967255,0.34611737728118896,0.12552586197853088
OMARRQ-multifeature-25hz,VGMIDITVar,11,11,0.1885702908039093,0.35347020626068115,0.12852509319782257
OMARRQ-multifeature-25hz,VGMIDITVar,13,13,0.1879123896360397,0.3529801070690155,0.12817348539829254
