encoder,layer,query_program,target_program,map,n_queries
CLaMP3,8,56,0,0.18914954364299774,16
CLaMP3,8,56,48,0.16171357035636902,16
CLaMP3,8,56,56,0.0,0
CLaMP3,8,56,60,0.1944829672574997,16
CLaMP3,8,56,73,0.31096726655960083,16
CLaMP3,8,60,0,0.19696106016635895,262
CLaMP3,8,60,48,0.2516849935054779,262
CLaMP3,8,60,56,0.696027934551239,16
CLaMP3,8,60,60,0.0,0
CLaMP3,8,60,73,0.4684275686740875,80
CLaMP3,8,73,0,0.16747479140758514,80
CLaMP3,8,73,48,0.16654372215270996,80
CLaMP3,8,73,56,0.48849427700042725,16
CLaMP3,8,73,60,0.3029114603996277,80
CLaMP3,8,73,73,0.0,0
CLaMP3,9,-1,-1,0.010531282052397728,1714
CLaMP3,9,0,0,0.1222219243645668,12
CLaMP3,9,0,48,0.17344509065151215,680
CLaMP3,9,0,56,0.4935261607170105,22
CLaMP3,9,0,60,0.31590691208839417,268
CLaMP3,9,0,73,0.3661091923713684,86
CLaMP3,9,48,0,0.268876850605011,676
CLaMP3,9,48,48,0.07430601865053177,4
CLaMP3,9,48,56,0.5668396949768066,18
CLaMP3,9,48,60,0.3995150625705719,264
CLaMP3,9,48,73,0.4466801583766937,82
CLaMP3,9,56,0,0.16838610172271729,16
CLaMP3,9,56,48,0.1600446105003357,16
CLaMP3,9,56,56,0.0,0
CLaMP3,9,56,60,0.1787022054195404,16
CLaMP3,9,56,73,0.3338138163089752,16
CLaMP3,9,60,0,0.2042364776134491,262
CLaMP3,9,60,48,0.2332996428012848,262
CLaMP3,9,60,56,0.633527934551239,16
CLaMP3,9,60,60,0.0,0
CLaMP3,9,60,73,0.4700060486793518,80
CLaMP3,9,73,0,0.15607723593711853,80
CLaMP3,9,73,48,0.16785787045955658,80
CLaMP3,9,73,56,0.543870210647583,16
CLaMP3,9,73,60,0.3017362952232361,80
CLaMP3,9,73,73,0.0,0
CLaMP3,10,-1,-1,0.009911035187542439,1714
CLaMP3,10,0,0,0.15106214582920074,12
CLaMP3,10,0,48,0.15294864773750305,680
CLaMP3,10,0,56,0.47891414165496826,22
CLaMP3,10,0,60,0.28588536381721497,268
CLaMP3,10,0,73,0.3451511561870575,86
CLaMP3,10,48,0,0.24023295938968658,676
CLaMP3,10,48,48,0.06435184925794601,4
CLaMP3,10,48,56,0.654273509979248,18
CLaMP3,10,48,60,0.3734012246131897,264
CLaMP3,10,48,73,0.43131473660469055,82
CLaMP3,10,56,0,0.14308911561965942,16
CLaMP3,10,56,48,0.20138153433799744,16
CLaMP3,10,56,56,0.0,0
CLaMP3,10,56,60,0.14709798991680145,16
CLaMP3,10,56,73,0.3361547589302063,16
CLaMP3,10,60,0,0.1987726092338562,262
CLaMP3,10,60,48,0.21410153806209564,262
CLaMP3,10,60,56,0.6448644995689392,16
CLaMP3,10,60,60,0.0,0
CLaMP3,10,60,73,0.4610259532928467,80
CLaMP3,10,73,0,0.15755954384803772,80
CLaMP3,10,73,48,0.1667824536561966,80
CLaMP3,10,73,56,0.557068407535553,16
CLaMP3,10,73,60,0.2809554636478424,80
CLaMP3,10,73,73,0.0,0
CLaMP3,11,-1,-1,0.01017984002828598,1714
CLaMP3,11,0,0,0.15214841067790985,12
CLaMP3,11,0,48,0.13845691084861755,680
CLaMP3,11,0,56,0.49583330750465393,22
CLaMP3,11,0,60,0.2749505341053009,268
CLaMP3,11,0,73,0.3332696557044983,86
CLaMP3,11,48,0,0.2162451446056366,676
CLaMP3,11,48,48,0.019051093608140945,4
CLaMP3,11,48,56,0.6504209041595459,18
CLaMP3,11,48,60,0.3576660752296448,264
CLaMP3,11,48,73,0.416775107383728,82
CLaMP3,11,56,0,0.12909381091594696,16
CLaMP3,11,56,48,0.18541698157787323,16
CLaMP3,11,56,56,0.0,0
CLaMP3,11,56,60,0.14879561960697174,16
CLaMP3,11,56,73,0.34050363302230835,16
CLaMP3,11,60,0,0.19279955327510834,262
CLaMP3,11,60,48,0.21683867275714874,262
CLaMP3,11,60,56,0.617307722568512,16
CLaMP3,11,60,60,0.0,0
CLaMP3,11,60,73,0.4601423144340515,80
CLaMP3,11,73,0,0.13635779917240143,80
CLaMP3,11,73,48,0.16016480326652527,80
CLaMP3,11,73,56,0.5170348882675171,16
CLaMP3,11,73,60,0.26626744866371155,80
CLaMP3,11,73,73,0.0,0
CLaMP3,12,-1,-1,0.01097569614648819,1714
CLaMP3,12,0,0,0.14627525210380554,12
CLaMP3,12,0,48,0.1365852802991867,680
CLaMP3,12,0,56,0.4231601655483246,22
CLaMP3,12,0,60,0.28069910407066345,268
CLaMP3,12,0,73,0.31674155592918396,86
CLaMP3,12,48,0,0.21778160333633423,676
CLaMP3,12,48,48,0.023842358961701393,4
CLaMP3,12,48,56,0.6449735164642334,18
CLaMP3,12,48,60,0.35994455218315125,264
CLaMP3,12,48,73,0.43640923500061035,82
CLaMP3,12,56,0,0.12628287076950073,16
CLaMP3,12,56,48,0.1991545557975769,16
CLaMP3,12,56,56,0.0,0
CLaMP3,12,56,60,0.16055412590503693,16
CLaMP3,12,56,73,0.3351796567440033,16
CLaMP3,12,60,0,0.18980197608470917,262
CLaMP3,12,60,48,0.22151601314544678,262
CLaMP3,12,60,56,0.6460279822349548,16
CLaMP3,12,60,60,0.0,0
CLaMP3,12,60,73,0.45324745774269104,80
CLaMP3,12,73,0,0.11744911968708038,80
CLaMP3,12,73,48,0.15052776038646698,80
CLaMP3,12,73,56,0.49783843755722046,16
CLaMP3,12,73,60,0.2614280581474304,80
CLaMP3,12,73,73,0.0,0
MERT-v1-95M,0,-1,-1,0.009946374222636223,1714
MERT-v1-95M,0,0,0,0.1925809234380722,12
MERT-v1-95M,0,0,48,0.07864989340305328,680
MERT-v1-95M,0,0,56,0.5444252490997314,22
MERT-v1-95M,0,0,60,0.20136435329914093,268
MERT-v1-95M,0,0,73,0.2483271062374115,86
MERT-v1-95M,0,48,0,0.09721942991018295,676
MERT-v1-95M,0,48,48,0.02571461722254753,4
MERT-v1-95M,0,48,56,0.5146845579147339,18
MERT-v1-95M,0,48,60,0.20017141103744507,264
MERT-v1-95M,0,48,73,0.2373344600200653,82
MERT-v1-95M,0,56,0,0.14812374114990234,16
MERT-v1-95M,0,56,48,0.07876715064048767,16
MERT-v1-95M,0,56,56,0.0,0
MERT-v1-95M,0,56,60,0.19225896894931793,16
MERT-v1-95M,0,56,73,0.33946043252944946,16
MERT-v1-95M,0,60,0,0.0855461061000824,262
MERT-v1-95M,0,60,48,0.11238790303468704,262
MERT-v1-95M,0,60,56,0.5657452344894409,16
MERT-v1-95M,0,60,60,0.0,0
MERT-v1-95M,0,60,73,0.3046918213367462,80
MERT-v1-95M,0,73,0,0.035238683223724365,80
MERT-v1-95M,0,73,48,0.07550577819347382,80
MERT-v1-95M,0,73,56,0.5773313641548157,16
MERT-v1-95M,0,73,60,0.23524227738380432,80
MERT-v1-95M,0,73,73,0.0,0
MERT-v1-95M,1,-1,-1,0.008970864117145538,1714
MERT-v1-95M,1,0,0,0.15787671506404877,12
MERT-v1-95M,1,0,48,0.07701084762811661,680
MERT-v1-95M,1,0,56,0.5541846752166748,22
MERT-v1-95M,1,0,60,0.22757214307785034,268
MERT-v1-95M,1,0,73,0.26600825786590576,86
MERT-v1-95M,1,48,0,0.0793561115860939,676
MERT-v1-95M,1,48,48,0.009728213772177696,4
MERT-v1-95M,1,48,56,0.4864327609539032,18
MERT-v1-95M,1,48,60,0.18210281431674957,264
MERT-v1-95M,1,48,73,0.26137080788612366,82
MERT-v1-95M,1,56,0,0.14859354496002197,16
MERT-v1-95M,1,56,48,0.07534611225128174,16
MERT-v1-95M,1,56,56,0.0,0
MERT-v1-95M,1,56,60,0.191473588347435,16
MERT-v1-95M,1,56,73,0.34872958064079285,16
MERT-v1-95M,1,60,0,0.08656514436006546,262
MERT-v1-95M,1,60,48,0.12377003580331802,262
MERT-v1-95M,1,60,56,0.5607514977455139,16
MERT-v1-95M,1,60,60,0.0,0
MERT-v1-95M,1,60,73,0.32368651032447815,80
MERT-v1-95M,1,73,0,0.05382455140352249,80
MERT-v1-95M,1,73,48,0.06466040015220642,80
MERT-v1-95M,1,73,56,0.5179958343505859,16
MERT-v1-95M,1,73,60,0.2477557212114334,80
MERT-v1-95M,1,73,73,0.0,0
MERT-v1-95M,2,-1,-1,0.009762034751474857,1714
MERT-v1-95M,2,0,0,0.20220761001110077,12
MERT-v1-95M,2,0,48,0.09716206789016724,680
MERT-v1-95M,2,0,56,0.5855429172515869,22
MERT-v1-95M,2,0,60,0.2232649028301239,268
MERT-v1-95M,2,0,73,0.33698856830596924,86
MERT-v1-95M,2,48,0,0.1216905266046524,676
MERT-v1-95M,2,48,48,0.028472470119595528,4
MERT-v1-95M,2,48,56,0.5596230030059814,18
MERT-v1-95M,2,48,60,0.25415050983428955,264
MERT-v1-95M,2,48,73,0.2827015817165375,82
MERT-v1-95M,2,56,0,0.06746100634336472,16
MERT-v1-95M,2,56,48,0.07389426976442337,16
MERT-v1-95M,2,56,56,0.0,0
MERT-v1-95M,2,56,60,0.21174003183841705,16
MERT-v1-95M,2,56,73,0.34937527775764465,16
MERT-v1-95M,2,60,0,0.11018933355808258,262
MERT-v1-95M,2,60,48,0.13167470693588257,262
MERT-v1-95M,2,60,56,0.6596354246139526,16
MERT-v1-95M,2,60,60,0.0,0
MERT-v1-95M,2,60,73,0.36898788809776306,80
MERT-v1-95M,2,73,0,0.09082452952861786,80
MERT-v1-95M,2,73,48,0.08798489719629288,80
MERT-v1-95M,2,73,56,0.5887547135353088,16
MERT-v1-95M,2,73,60,0.2565612196922302,80
MERT-v1-95M,2,73,73,0.0,0
MERT-v1-95M,3,-1,-1,0.012858868576586246,1714
MERT-v1-95M,3,0,0,0.17189784348011017,12
MERT-v1-95M,3,0,48,0.16639119386672974,680
MERT-v1-95M,3,0,56,0.5954455733299255,22
MERT-v1-95M,3,0,60,0.2852826416492462,268
MERT-v1-95M,3,0,73,0.41169992089271545,86
MERT-v1-95M,3,48,0,0.19760966300964355,676
MERT-v1-95M,3,48,48,0.052298542112112045,4
MERT-v1-95M,3,48,56,0.5540674328804016,18
MERT-v1-95M,3,48,60,0.34595003724098206,264
MERT-v1-95M,3,48,73,0.3642844557762146,82
MERT-v1-95M,3,56,0,0.12001679837703705,16
MERT-v1-95M,3,56,48,0.10967312753200531,16
MERT-v1-95M,3,56,56,0.0,0
MERT-v1-95M,3,56,60,0.23216478526592255,16
MERT-v1-95M,3,56,73,0.3373199701309204,16
MERT-v1-95M,3,60,0,0.1547853648662567,262
MERT-v1-95M,3,60,48,0.19859077036380768,262
MERT-v1-95M,3,60,56,0.6575521230697632,16
MERT-v1-95M,3,60,60,0.0,0
MERT-v1-95M,3,60,73,0.39057761430740356,80
MERT-v1-95M,3,73,0,0.13304586708545685,80
MERT-v1-95M,3,73,48,0.14148011803627014,80
MERT-v1-95M,3,73,56,0.5966145992279053,16
MERT-v1-95M,3,73,60,0.25863662362098694,80
MERT-v1-95M,3,73,73,0.0,0
MERT-v1-95M,4,-1,-1,0.014300552196800709,1714
MERT-v1-95M,4,0,0,0.15346114337444305,12
MERT-v1-95M,4,0,48,0.21371237933635712,680
MERT-v1-95M,4,0,56,0.5836489200592041,22
MERT-v1-95M,4,0,60,0.30290114879608154,268
MERT-v1-95M,4,0,73,0.44237783551216125,86
MERT-v1-95M,4,48,0,0.24783176183700562,676
MERT-v1-95M,4,48,48,0.06539783626794815,4
MERT-v1-95M,4,48,56,0.5165013074874878,18
MERT-v1-95M,4,48,60,0.3470688462257385,264
MERT-v1-95M,4,48,73,0.3777869641780853,82
MERT-v1-95M,4,56,0,0.11194919049739838,16
MERT-v1-95M,4,56,48,0.12482483685016632,16
MERT-v1-95M,4,56,56,0.0,0
MERT-v1-95M,4,56,60,0.2176886796951294,16
MERT-v1-95M,4,56,73,0.34831351041793823,16
MERT-v1-95M,4,60,0,0.1458071619272232,262
MERT-v1-95M,4,60,48,0.21367928385734558,262
MERT-v1-95M,4,60,56,0.6777777671813965,16
MERT-v1-95M,4,60,60,0.0,0
MERT-v1-95M,4,60,73,0.37792977690696716,80
MERT-v1-95M,4,73,0,0.15749970078468323,80
MERT-v1-95M,4,73,48,0.15303130447864532,80
MERT-v1-95M,4,73,56,0.6176215410232544,16
MERT-v1-95M,4,73,60,0.26474085450172424,80
MERT-v1-95M,4,73,73,0.0,0
MERT-v1-95M,5,-1,-1,0.01540213730186224,1714
MERT-v1-95M,5,0,0,0.13636082410812378,12
MERT-v1-95M,5,0,48,0.2307281494140625,680
MERT-v1-95M,5,0,56,0.569940447807312,22
MERT-v1-95M,5,0,60,0.29278135299682617,268
MERT-v1-95M,5,0,73,0.4244764447212219,86
MERT-v1-95M,5,48,0,0.2400442212820053,676
MERT-v1-95M,5,48,48,0.06356564164161682,4
MERT-v1-95M,5,48,56,0.5262234807014465,18
MERT-v1-95M,5,48,60,0.3701538145542145,264
MERT-v1-95M,5,48,73,0.4271673858165741,82
MERT-v1-95M,5,56,0,0.11978457868099213,16
MERT-v1-95M,5,56,48,0.13234330713748932,16
MERT-v1-95M,5,56,56,0.0,0
MERT-v1-95M,5,56,60,0.2053292989730835,16
MERT-v1-95M,5,56,73,0.3166009187698364,16
MERT-v1-95M,5,60,0,0.14226029813289642,262
MERT-v1-95M,5,60,48,0.2238120436668396,262
MERT-v1-95M,5,60,56,0.6254340410232544,16
MERT-v1-95M,5,60,60,0.0,0
MERT-v1-95M,5,60,73,0.3943571150302887,80
MERT-v1-95M,5,73,0,0.15537351369857788,80
MERT-v1-95M,5,73,48,0.15737184882164001,80
MERT-v1-95M,5,73,56,0.5572048425674438,16
